sep=;
TÍTULO;AUTOR;AUTOR INSTITUCIONAL;AŃO;EDITOR;REUNIÓN;SIGNATURA;CÓDIGO DOC;ICS;DESCRIPTORES;RESUMEN
"Documentación. Directivas para la confección de guías de bibliotecas y centros de documentación e información";"";"Instituto Argentino de Normalización y Certificación (IRAM)";"1981";"";"";"";"IRAM 32055";"01.140.20";"Centros de documentación; Bibliotecas; Guías";""
"Tesauros monolingües para la recuperación de la información. Estructuración y desarrollo";"";"Instituto Argentino de Normalización y Certificación (IRAM)";"1983";"";"";"";"IRAM 32057";"01.140.20";"Centros de documentación; Bibliotecas; Tesauros";""
"Información y documentación. Gestión de documentos. Parte 1: Generalidades";"";"Asociación Espańola de Normalización y Certificación (AENOR)";"2006";"";"";"";"UNE-ISO 15489-1";"01.140.20";"Centros de Documentación; Bibliotecas; Información; Gestión de documentos; Generalidades; Especificaciones";""
"Información y documentación. Gestión de documentos. Parte 2: Directrices. (ISO/TR 15489-2:2001)";"";"Asociación Espańola de Normalización y Certificación (AENOR)";"2006";"";"";"";"UNE-ISO/TR 15489-2";"01.140.20";"Centros de Documentación; Bibliotecas; Información; Gestión de documentos; Directrices; Requisitos";""
"Catalogación bibliográfica. Definiciones generales";"";"Instituto Argentino de Normalización y Certificación (IRAM)";"1973";"";"";"";"IRAM 32001";"01.140.20";"Centros de documentación; Bibliotecas; Catalogación bibliográfica";""
"Catalogación bibliográfica. Catalogación descriptiva";"";"Instituto Argentino de Normalización y Certificación (IRAM)";"1974";"";"";"";"IRAM 32002";"01.140.20";"Centros de documentación; Bibliotecas; Catalogación bibliográfica";""
"Catalogación bibliográfica. Determinación del autor";"";"Instituto Argentino de Normalización y Certificación (IRAM)";"1974";"";"";"";"IRAM 32003";"01.140.20";"Centros de documentación; Bibliotecas; Catalogación bibliográfica";""
"Catalogación bibliográfica. Catalogación de publicaciones periódicas";"";"Instituto Argentino de Normalización y Certificación (IRAM)";"1982";"";"";"";"IRAM 32006";"01.140.20";"Centros de documentación; Bibliotecas; Catalogación bibliográfica; Publicaciones periódicas";""
"Catalogación bibliográfica. Textos legales, jurisprudenciales y normativos";"";"Instituto Argentino de Normalización y Certificación (IRAM)";"1976";"";"";"";"IRAM 32007";"01.140.20";"Centros de documentación; Bibliotecas; Catalogación bibliográfica";""
"Catalogación bibliográfica. Incunables";"";"Instituto Argentino de Normalización y Certificación (IRAM)";"1975";"";"";"";"IRAM 32009";"01.140.20";"Centros de documentación; Bibliotecas; Catalogación bibliográfica";""
"Catalogación bibliográfica. Obras religiosas";"";"Instituto Argentino de Normalización y Certificación (IRAM)";"1977";"";"";"";"IRAM 32010";"01.140.20";"Centros de documentación; Bibliotecas; Catalogación bibliográfica";""
"Catalogación bibliográfica. Catalogación analítica";"";"Instituto Argentino de Normalización y Certificación (IRAM)";"1982";"";"";"";"IRAM 32011";"01.140.20";"Centros de documentación; Bibliotecas; Catalogación bibliográfica";""
"Catalogación bibliográfica. Fichas catalográficas";"";"Instituto Argentino de Normalización y Certificación (IRAM)";"1977";"";"";"";"IRAM 32012";"01.140.20";"Centros de documentación; Bibliotecas; Catalogación bibliográfica";""
"Catalogación bibliográfica. Materiales cartográficos";"";"Instituto Argentino de Normalización y Certificación (IRAM)";"1982";"";"";"";"IRAM 32014";"01.140.20";"Centros de documentación; Bibliotecas; Catalogación bibliográfica";""
"Documentación. Numeración internacional de libros";"";"Instituto Argentino de Normalización y Certificación (IRAM)";"1982";"";"";"";"IRAM 32052";"01.140.20";"Centros de documentación; Bibliotecas; ISBN";""
"Documentación. Referencias bibliográficas. Contenido, forma y estructura";"";"Instituto Argentino de Normalización y Certificación (IRAM)";"1995";"";"";"";"IRAM 32053-1";"01.140.20";"Centros de documentación; Bibliotecas; Referencias bibliográficas";""
"Mobiliarios. Unidades de almacenaje. Método para la determinación de la estabilidad";"";"Instituto Argentino de Normalización y Certificación (IRAM)";"1989";"";"";"";"IRAM 28015";"97.140.00";"Muebles; Mobiliario; Unidades de almacenamiento; Métodos de ensayo; Determinación; Estabilidad";""
"Permanence of paper for records, books and other documents";"";"Canadian General Standards Board (CAN)";"2000";"";"";"";"CAN/CGSB 9.70";"";"Papel; Calidad; Requisitos; Rendimiento; Deterioro; Almacenamiento; Bibliotecas; Archivos; Libros; Documentos; Personal; Inspección; Evaluación";""
"Información y documentación. Indicadores de desempeńo de bibliotecas. ";"";"Instituto Argentino de Normalizacion y Certificación (IRAM)";"2007";"";"";"";"IRAM-ISO 11620:2007";"01.140.20: Ciencias de la información. ";"Procesamiento de datos; Información; Documentacion; Bibliotecas";""
"La biblioteca universitaria";"Litton, G.";"";"1973";"Centro regional de ayuda técnica";"";"001/027/L761/17";"";"";"Bibliotecas universitarias; Bibliotecología; Universidades";""
"La biblioteca pública";"Litton, G.";"";"1973";"Centro regional de ayuda técnica";"";"001/027/L761/14";"";"";"Bibliotecas públicas; Bibliotecología";""
"Los medios de información en medicina";"Hernández, H.H.";"";"1969";"Instituto Bibliotecológico";"Conferencia. AR. 1969";"002/H557";"";"";"Información; Bibliotecas; Medicina";""
"The On-Line age, plans and needs for on-line information retrieval, proceedings";"Pratt, G.; Harvey, S.";"";"1976";"ASLIB";"EUSIDIC, Oslo, NO. Eusidic conference. NO. 1975";"002:007/P914";"";"";"Sistemas en línea; Búsqueda en línea; Bases de datos; Centros de información; Bibliotecas";""
"Un currículo básico";"Forget, J.";"";"1978";"Federación Internacional de Planificación Familiar";"";"002:02/F721E/ser/1 // 002:02/F721/ser/1";"";"";"Documentación; Bibliotecarios; Bibliotecas; Ciencias de la Información; Información";""
"Installation, equipment, layout and conservation of collections";"Forget, J.";"";"1978";"Federación Internacional para la Planificación Familiar";"";"002:02/F721E/ser/5";"";"";"Equipamiento; Layout; Bibliotecarios; Bibliotecas; Publicaciones";""
"Grundsatzliche Uberlegungen zum Aufbau von Dokumentations- und Biblioteheksdientsten in Entwicklungslandern";"";"German Foundation for International Development (DSE)";"1973";"German Foundation for International Development";"";"002.6/G373g";"";"";"Documentación; Bibliotecas; Centros de información; Usuarios";""
"Catálogo colectivo nacional de revistas; CCNAR";"";"Red Nacional de Bibliotecas Universitarias (RENBU)";"1991";"RENBU";"";"019.6(05)/R312";"";"";"Catálogos; Publicaciones periódicas; Institutos de investigación; Tecnología y ciencia; Documentación";""
"System for food science";"Schützsack, Udo";"International Food Information Service (IFIS)";"1973";"IFIS";"International Association of Technological University Libraries (IATUL). Triennial Meeting, 5. . 1973";"002.6/S383";"";"";"Centros de información; Bases de datos; Bibliotecas";""
"Libraries in post-industrial society";"Estabrook, Leigh";"";"1977";"Oryx Press";"";"021:301.1/E79";"";"";"Bibliotecas; Información; Usuarios";""
"Library use of computers; an introduction";"Smith, Gloria L.; Meyer, Robert S.";"";"1969";"Special Libraries Association";"";"025:681.3/S648";"";"";"Bibliotecas; Bibliotecología; Computación; Computadoras; Automatización; Sistemas de información";""
"El consejero de biblioteca";"Young, Virginia G.";"";"1974";"Bouker";"";"02/Y77/Ser.2";"";"";"Bibliotecología; Bibliotecas; Asistencia técnica";""
"Reglas para la formación y redacción de los catálogos-diccionarios en las bibliotecas, seguidas de una lista de encabezamientos de materia y numerosos apéndices";"Lasso de La Vega, Javier; Goicoechea, Cesareo";"";"1939";"Editora Internacional";"";"025.343/L347";"";"";"Catálogos; Bibliotecas; Bibliotecología";""
"Plan de coordinación para una organización bibliotecaria en la Universidad Nacional de Córdoba";"Couture de Troismonts, Roberto";"Universidad Nacional de Córdoba";"1963";"Universidad Nacional de Córdoba";"";"027.7/C872";"";"";"Bibliotecas; Bibliotecología; Organización; Planificación";""
"Historia de las bibliotecas agrícolas, pecuarias y forestales de Colombia";"Hernández de Caldas, Angela";"";"1980";"Colciencias";"";"026:63/H557";"";"";"Bibliotecas especializadas; Bibliotecología; Agricultura; Sistemas de información; Publicaciones técnicas; Organización";""
"Requisitos mínimos para la organización y el funcionamiento de la biblioteca de una escuela de medicina";"";"Biblioteca Regional de Medicina de la Organización Panamericana de la Salud (BIREME/OPS)";"1972";"Biblioteca Regional de Medicina";"";"026.7/B582";"";"";"Bibliotecas especializadas; Medicina; Organización; Servicio de referencia; Publicaciones técnicas";""
"Trabajos";"";"";"1951";"Dirección General de Bibliotecas";"Ministerio de Educación, Provincia de Buenos Aires, La Plata, AR. Primer Congreso Provincial de Bibliotecas Populares, 1. AR. 1949";"027.022/M665";"";"";"Bibliotecas; Reuniones; Organización";""
"Por el libro";"Delavenay, Emile";"Organización de las Naciones Unidas para la Educación, la Ciencia y la Cultura (UNESCO)";"1974";"UNESCO";"";"028/D343";"";"";"Monografías; Libros; Cooperación internacional; Bibliotecas; UNESCO";""
"The development of special libraries as an international phenomenon";"Halm, Johan van";"";"1978";"Special Libraries Association";"";"026/H194";"";"";"Bibliotecas especializadas; Bibliotecología; Bibliotecarios; Manejo de la información; Organización";""
"Las bibliotecas técnicas en los programas cooperativos";"";"Centro Regional de Ayuda Técnica (CRAT)";"1961";"CRAT";"";"027.021/C397";"";"";"Bibliotecas especializadas; Bibliotecarios; Servicio de referencia; Manejo de la información; Organización";""
"Scientific and technical libraries; their organization and administration";"Strauss, Lucille J.; Shreve, Irene M.; Brown, Alberta L.";"";"1972";"John Wiley & Sons";"";"026/S912/2ed.";"";"";"Bibliotecas especializadas; Bibliotecología; Organización; Administración; Información";""
"Biblioteca mayor, su historia, su organización, sus servicios";"";"Universidad Nacional de Córdoba";"1978";"Universidad Nacional de Córdoba";"";"027.7/U58";"";"";"Bibliotecas; Organización; Servicio de referencia; Córdoba, Argentina";""
"La biblioteca y los medios audiovisuales";"Hicks, Warren B.; Tillin, Alma M.";"";"1974";"Bowker";"";"026.06/H631/Ser4";"";"";"Bibliotecas; Materiales audiovisuales; Administración; Organización; Servicio de referencia; Información";""
"La organización de los Estados Americanos y las Naciones Unidas";"";"Unión Panamericana";"1961";"Unión Panamericana";"";"027.022/U58";"";"";"Organismos internacionales; Organismos regionales; Bibliotecas públicas";""
"The physical contents and layout";"Ellsworth, Ralph E.";"";"1964";"Educational Facilities laboratories";"";"027:022/E47";"";"";"Bibliotecas; Organización; Layout; Administración; Bibliotecarios; Servicio de referencia; Manejo de la información";""
"La biblioteca escolar; propulsora de la educación";"Davies, Ruth Ann";"";"1974";"Bowker";"";"027.8/D257";"";"";"Bibliotecas escolares; Educación; Enseńanza; Manejo de la información";""
"Planning the special library";"Mount, Ellis";"";"1972";"Special Libraries Association";"";"026/M928";"";"";"Bibliotecas especializadas; Administración; Organización; Planificación";""
"Repertorio de bibliotecas especializadas y centros de información; edición preliminar";"";"Secretaría de Planeamiento.Area Biblioteca";"1979";"Presidencia de la Nación";"";"058:027/A691/R";"";"";"Directorios; Bibliotecas especializadas; Centros de información";""
"Trabajos";"";"";"1974";"";"Reunión nacional de bibliotecarios, 11 / Reunión iberoamericana de bibliotecarios, 11. AR. 1974";"02:06/R444/11";"";"";"Bibliotecología; Bibliotecas; Documentación; Información; Diseminación de la información; Automatización; Educación; Cooperación técnica";""
"Trabajos";"";"";"1970";"ABGRA";"Asociación de Bibliotecarios Graduados de la República Argentina (ABGRA), Buenos Aires, AR. Reunión nacional de bibliotecarios, 8. AR. 1970";"02:06/R444/8";"";"";"Bibliotecología; Bibliotecas; Documentación";""
"Trabajos";"";"";"1969";"ABGRA";"Asociación de Bibliotecarios Graduados de la República Argentina (ABGRA), Buenos Aires, AR. Reunión Nacional de Bibliotecarios, 7. AR. 1969";"02:06/R444/7";"";"";"Bibliotecas especializadas; Bibliotecología; Centros de información";""
"Catálogo colectivo de publicaciones periódicas";"Rhades, Gerda; Trucco, María Virginia";"Asociación de Bibliotecas Biomédicas Argentinas (ABBA)";"1992";"ABBA";"";"017.1:05/A837/3.ed./R";"";"";"Catálogos; Publicaciones periódicas; Medicina; Biomedicina; Tecnología médica";""
"La política de investigación científica y tecnológica argentina; historia y perspectivas";"Oteiza, Enrique (dir.");"";"1992";"Centro Editor de América Latina";"";"001.89(82)/O88";"";"";"Investigación científico técnica; Política científica; Política tecnológica; Institutos de investigación; Recursos humanos; Proyectos nacionales; Tecnología y ciencia; Argentina";""
"Modern physics buildings; design and function";"Palmer, R.Ronald; Rice, William Maxwell";"";"1961";"Reinhold";"";"727/P175";"";"";"Edificios; Arquitectura; Construcciones; Escuelas; Bibliotecas; Laboratorios";""
"Evaluación administrativa de publicaciones periódicas en una biblioteca argentina especializada multidisciplinaria de investigación";"Falcato, Pedro";"Centro de Investigación Documentaria (CID)";"1993";"INTI-CID";"";"3615";"";"";"Bibliotecología; Publicaciones Periódicas; Evaluación de la Información; Bibliometría; Administración; Bibliotecas Especializadas";""
"Guía de servicios, ensayos y análisis";"";"Centro de Investigación Documentaria (CID)";"s.f.";"INTI";"";"1731";"";"";"Bibliotecas; Documentación; Sistemas de Información; Servicios; CID";""
"Actividades de un centro de documentación para la literatura técnica";"Nestvold, Magne";"Naciones Unidas";"s.f.";"s.ed.";"";"2225";"";"";"Documentación; Publicaciones Periódicas; Sistemas de Información; Bibliotecas; Noruega";""
"Informe";"Hepburn, María Cristina";"Centro de Investigación Documentaria (CID)";"1978";"s.ed.";"";"2328";"";"";"Sistemas de Información; Bibliotecas; Institutos de Investigación; Cooperación Técnica; Viajes";""
"Catálogo 1980";"";"Centro de Investigación Documentaria (CID)";"1981";"INTI-CID";"";"2506";"";"";"Catálogos; Publicaciones Periódicas; Información Científico Técnica; Bibliotecas; CID";""
"El impacto de las bases de datos en los servicios bibliotecarios";"Hepburn, María Cristina";"Centro de Investigación Documentaria (CID)";"1984";"s.ed.";"Reunión nacional de bibliotecarios, 20. AR. 1984";"2521";"";"";"Bases de Datos; Sistemas de Información; Redes de Información; Bibliotecas; Servicio de referencia";""
"La informática en los servicios bibliotecarios";"López, Mirta A.; Silva, Delfina A.";"Centro de Investigación Documentaria (CID)";"s.f.";"s.ed.";"";"2582";"";"";"Informatica; Automatización; Bibliotecas; Bases de Datos; Fuentes de Información";""
"Sistema de información industrial, coordinado por INTI-CID";"Hepburn, María Cristina";"Centro de Investigación Documentaria (CID)";"1986";"s.ed.";". Foro de invierno '86: La información y los bancos de datos. AR. 1986";"2880";"";"";"Bibliotecas; Centros de Información; Información Científico Técnica; Sistemas de Información; CID";""
"Información tecnológica: estudio de un caso";"Hepburn, María Cristina";"Centro de Investigación Documentaria (CID)";"1987";"s.ed.";". Acto conmemorativo. AR. 1987";"3015";"";"";"Centros de Información; Bibliotecas; Conmutación Bibliográfica; CID";""
"Opiniones vertidas acerca del proyecto: Centro de Información Tecnológica para la Industria";"Hepburn, María Cristina";"Centro de Investigación Documentaria (CID)";"1987";"s.ed.";"";"3049";"";"";"Proyectos; Centros de información; Bibliotecas; CID";""
"Informe";"Carosio, Alicia A.";"Centro de Investigación Documentaria (CID)";"1987";"s.ed.";"";"3050";"";"";"Bibliotecas; Centros de información; Productividad; Incentivos; CID";""
"Una experiencia en el suministro de información";"Morello, Vilma M.; Hepburn, María Cristina";"Centro de Investigación Documentaria (CID)";"1980";"s.ed.";"Congreso argentino de microfilmación, 1. AR. 1980";"3204";"";"";"Bibliotecas; INTI; CID; Centros de Información; Información Científico Técnica; Traducciones; Reprografía";""
"Bibliotecas especializadas";"Silva, Carmen L.; Silva, Delfina A.";"Centro de Investigación de Celulosa y Papel (CICELPA) // Centro de Investigaciones Textiles (CIT)";"1988";"s.ed.";"";"3305";"";"";"Directorios; Bibliotecas Especializadas; Ministerios; Tratamiento de la Información; Legislación";""
"LISA Dialog information retrieval service";"";"";"1980";"Dialog";"";"002.6/D536/2";"";"";"Bases de datos; Bibliotecas; Sistemas de información; Bibliotecología; Automatización; Reprografía";""
"Projeto de modernizaçao administrativa da Biblioteca central da Universidade de Brasilia";"Sa Barreto, M.H. de; Junior, A. Cordeiro";"Universidade de Brasilia";"1980";"s.ed.";"Reunión de bibliotecas universitarias y nacionales latinoamericanas. CL. 1984";"007:02/R444/ 3";"";"";"Bibliotecas universitarias; Universidades; Automatización; Brasil";""
"Reglas de catalogación angloamericanas II: diferencias con la primera edición del capítulo 21; elección de puntos de acceso";"Amaya de Heredia, M.; Torres Arancibia, A.M.";"Pontificia Universidad Católica de Chile";"1984";"Pontificia Universidad Católica de Chile";"Reunión de bibliotecas universitarias y nacionales latinoamericanas. CL. 1984";"007:02/R444/ 2";"";"";"Catalogación; Normas";""
"Pauta para la recolección de información básica sobre automatización de procesos bibliotecarios";"";"";"s.f.";"s.ed.";"Reunión de bibliotecas universitarias y nacionales latinoamericanas. CL. 1984";"007:02/R444/ 1";"";"";"Bibliotecas; Procesamiento de datos; Automatización; Computación";""
"Bases de datos bibliográficos en Chile: una alternativa para la búsqueda de información";"Burgos M., E.A.; Gómez F., H.";"";"s.f.";"s.ed.";"Reunión de bibliotecas universitarias y nacionales latinoamericanas. CL. 1984";"007:02/R444/ 4";"";"";"Bases de datos; Recuperación de información; Archivos computarizados";""
"Uso de bases de dados por paises em desenvolvimento: problemas e perspectivas";"Cunha, M. Bastos da";"Universidade de Brasilia";"1984";"s.ed.";"Reunión de bibliotecas universitarias y nacionales latinoamericanas. CL. 1984";"007:02/R444/ 5";"";"";"Bases de datos; Recuperación de información";""
"Automatización en la biblioteca nacional como factor de desarrollo de la red de bibliotecas universitarias brasileńas";"Barroso, M.A.";"";"s.f.";"s.e.";"Reunión de bibliotecas universitarias y nacionales latinoamericanas. CL. 1984";"007:02/R444/ 6";"";"";"Bibliotecas nacionales; Automatización; Redes de información; Bibliotecas universitarias";""
"Soportes lógicos portátiles para el tratamiento de la información";"";"Programa General de Información (PGI/UNISIST)";"1984";"s.ed.";"Reunión de bibliotecas universitarias y nacionales latinoamericanas. CL. 1984";"007:02/R444/ 7";"";"";"Computadoras digitales; Recuperación de información; Archivos computarizados";""
"Bases para un trabajo cooperativo entre bibliotecas nacionales y universitarias: el caso de Venezuela";"Betancourt Valverde, V.; Villalba Anzola, L.";"";"s.f.";"s.ed.";"Reunión de bibliotecas universitarias y nacionales latinoamericanas. CL. 1984";"007:02/R444/ 8";"";"";"Bibliotecas nacionales; Bibliotecas universitarias; Universidades; Redes de información; Venezuela";""
"Automatización del Centro catalográfico centroamericano, biblioteca, documentación e información de la Universidad de Costa Rica";"Araya Marín, A.";"";"1984";"Ciudad universitaria Rodrigo Facio";"Reunión de bibliotecas universitarias y nacionales latinoamericanas. CL. 1984";"007:02/R444/10";"";"";"Bibliotecas universitarias; Automatización; Microcomputadoras; Catalogación; Catálogos";""
"Sistema colombiano de información bibliográfica (SCIB)";"Cardona de Gil, B.N.";"";"1984";"Pontificia Universidad Católica de Chile";"Reunión de bibliotecas universitarias y nacionales latinoamericanas. CL. 1984";"007:02/R444/11";"";"";"Sistemas de información; Bases de datos; Recuperación de información; Colombia";""
""Librunam" en la automatización de la Biblioteca general de la Universidad de los Andes, Colombia";"Pardo, R.";"Universidad de Los Andes";"s.f.";"Universidad de los Andes";"Reunión de bibliotecas universitarias y nacionales latinoamericanas. CL. 1984";"007:02/R444/14";"";"";"Bibliotecas universitarias; Automatización; Sistemas de información; Colombia";""
"El programa de la IFLA relativo a la disponibilidad universal de publicaciones (UAP)";"Vickers, S.";"Organización de las Naciones Unidas para la Educación, la Ciencia y la Cultura (UNESCO)";"1984";"UNESCO";"Reunión de bibliotecas universitarias y nacionales latinoamericanas. CL. 1984";"007:02/R444/15";"";"";"Publicaciones; Publicaciones periódicas; Sistemas de información";""
"Pauta para la descripción de un paquete de software para procesos bibliográficos";"";"Instituto Colombiano para el Fomento de la Educación Superior (ICFES)";"s.f.";"ICFES";"Reunión de bibliotecas universitarias y nacionales latinoamericanas. CL. 1984";"007:02/R444/23";"";"";"Software; Lenguajes de programación; Sistemas de información";""
"Reglas AACR2 en espańol";"Vargas Bolańos, M.J.";"";"1984";"s.ed.";"Reunión de bibliotecas universitarias y nacionales latinoamericanas. CL. 1984";"007:02/R444/22";"";"";"Catalogación; Normas";""
"La cooperación en el entrenamiento de usuarios";"Arias Ordońez, J.";"";"s.f.";"s.ed.";"Reunión de bibliotecas universitarias y nacionales latinoamericanas. CL. 1984";"007:02/R444/20";"";"";"Bibliotecas; Educación; Usuarios";""
"Sistema de información y documentación para la educación superior";"Arias Ordońez, J.";"Instituto Colombiano para el Fomento de la Educación Superior (ICFES)";"1984";"ICFES";"Reunión de bibliotecas universitarias y nacionales latinoamericanas. CL. 1984";"007:02/R444/19";"";"";"Bibliotecas; Sistemas de información; Educación; Universidades";""
"Elementos para un nuevo enfoque del problema de la educación de usuarios en los países en desarrollo";"Robredo, J.; Coelho, C. Villares; Cunha, M. Bastos da";"Universidad de Brasilia";"1984";"Pontificia Universidad Católica de Chile";"Reunión de bibliotecas universitarias y nacionales latinoamericanas. CL. 1984";"007:02/R444/18";"";"";"Bibliotecas; Educación; Usuarios";""
"Formato MARC-UC para monografías: versión preliminar";"";"Pontificia Universidad Católica de Chile";"1984";"Pontificia Universidad Católica de Chile";"Reunión de bibliotecas universitarias y nacionales latinoamericanas. CL. 1984";"007:02/R444/24";"";"";"Lenguajes de programación; Catalogación; Programación; Formatos";""
"Contribución a la región: red de documentación integrada de la Unesco";"Gianelli de Blasco, S.";"Oficina Regional de Ciencia y Tecnología para América Latina y el Caribe (ROSTLAC)";"1984";"ROSTLAC";"Reunión de bibliotecas universitarias y nacionales latinoamericanas. CL. 1984";"007:02/R444/17";"";"";"Redes de información; UNESCO";""
"Aspectos del desarrollo de una red de bibliotecas";"Wetherbee, L.V.";"AMIGOS Bibliographic Council";"1984";"s.ed.";"Reunión de bibliotecas universitarias y nacionales latinoamericanas. CL. 1984";"007:02/R444/16";"";"";"Redes de información; Bibliotecas";""
"COMUT: evolución histórica y perspectivas";"Rodrigues, R.C.";"";"s.f.";"s.ed.";"Reunión de bibliotecas universitarias y nacionales latinoamericanas. CL. 1984";"007:02/R444/21";"";"";"Conmutación bibliográfica; Sistemas de información";""
"AMIGOS: una exitosa experiencia en redes de bibliotecas";"Wetherbee, L.V.";"";"s.f.";"s.ed.";"Reunión de bibliotecas universitarias y nacionales latinoamericanas. CL. 1984";"007:02/R444/26";"";"";"Redes de información; Bibliotecas";""
"El sistema de información bibliográfica de la Pontificia Universidad Católica de Chile (SIBUC)";"Arenas, M.L.; Mayo Israel, J.de; Cifuentes Seves, R.";"";"s.f.";"Pontificia Universidad Católica de Chile";"Reunión de bibliotecas universitarias y nacionales latinoamericanas. CL. 1984";"007:02/R444/25";"";"";"Sistemas de información; Bases de datos; Redes de información; Bibliotecas; Chile";""
"Proyecto para la implementación del sistema de autoridades bibliográficas del ICFES en la parte referente a autores corporativos";"Cárdenas de Fernández, L.";"";"1984";"Pontificia Universidad Católica de Chile";"Reunión de bibliotecas universitarias y nacionales latinoamericanas. CL. 1984";"007:02/R444/ 9";"";"";"Catalogación; Términos de indización";""
"NOTIS: características y aplicación en Venezuela";"Castillo de Soto, A.";"";"1984";"s.ed.";"Reunión de bibliotecas universitarias y nacionales latinoamericanas. CL. 1984";"007:02/R444/12";"";"";"Automatización; Sistemas de información; Bibliotecas; Venezuela";""
"Uma experiencia de aplicaçao do computador no ensino da biblioteconomia e ciencia da informaçao";"Robredo, J.";"";"1984";"s.ed.";"Reunión de bibliotecas universitarias y nacionales latinoamericanas. CL. 1984";"007:02/R444/13";"";"";"Automatización; Sistemas de información; Computadoras; Bibliotecas";""
"Sistema nacional de bibliotecas y servicios de información en Barbados: informe de consultoría (septiembre 1981)";"Keren, C.";"";"1983";"IDRC";"";"007/K39";"";"";"Sistemas de información; Bibliotecas; Recursos humanos; Presupuesto; Capacitación";""
"Use of chemical literature";"Bottle, R.T. (ed.");"";"1979";"Butterworths";"";"54:016/B751";"";"";"Química; Información científico técnica; Fuentes de información; Bibliotecas; Centros de información; Manejo de la información; Publicaciones técnicas; Patentes; Recuperación de información";""
"Informe final";"";"";"1982";"UNESCO";"Organización de las Naciones Unidas para la Educación, la Ciencia y la Cultura (UNESCO), Paris, FR // Federación Internacional de Asociaciones de Bibliotecarios y de Bibliotecas (IFLA). Congreso internacional sobre disponibilidad universal de publicaciones. FR. 1982";"002/007/O68/PGI-82/UAP/6";"";"";"Publicaciones periódicas";""
"International inventory of software packages in the information field";"Keren, C. (ed.); Sered, I. (ed.");"Organización de las Naciones Unidas para la Educación, la Ciencia y la Cultura (UNESCO)";"1983";"UNESCO";"";"002/007/O68/PGI-83/WS/28";"";"";"Software; Sistemas de información; Bibliotecas; Microcomputadoras; Programación; Procesamiento de datos";""
"Disponibilidad y uso de publicaciones oficiales en las bibliotecas";"Cherns, J.J.";"Organización de las Naciones Unidas para la Educación, la Ciencia y la Cultura (UNESCO)";"1983";"UNESCO";"";"002/007/O68/PGI-83/WS/30";"";"";"Publicaciones; Organismos nacionales; Documentos oficiales; Bibliotecas";""
"Preservación y restauración de materiales fotográficos en archivos y bibliotecas: un estudio del RAMP con directrices";"Hendriks, K.B.";"Organización de las Naciones Unidas para la Educación, la Ciencia y la Cultura (UNESCO)";"1984";"UNESCO";"";"002/007/O68/PGI-84/WS/ 1";"";"";"Fotografía; Conservación; Restauración; Bibliotecas; Archivos";""
"Directrices para los estudios relativos a los usuarios de la información (versión experimental)";"";"Organización de las Naciones Unidas para la Educación, la Ciencia y la Cultura (UNESCO)";"1981";"UNESCO";"";"002/007/O68/PGI-81/WS/ 2";"";"";"Información científico técnica; Bibliotecas; Usuarios; Sistemas de información; Encuestas";""
